"id","pred"
"bz9nw4",0.834393262863159
"bz9pnl",0.334921211004257
"bz9rm4",0.216245606541634
"bz9tch",0.780210196971893
"bz9tp8",0.144688531756401
"bz9u3p",0.61521989107132
"bz9u4b",0.140306562185287
"bz9uex",0.337147355079651
"bz9uwi",0.0311958342790604
"bz9v5w",0.469201475381851
"bz9v62",0.00538282142952085
"bz9vlv",0.12866273522377
"bz9w4z",0.114712379872799
"bz9wwy",0.00439055589959025
"bzb9a9",0.00675423443317413
"bzb9au",0.000426769547630101
"bzb9bj",0.00974944047629833
"bzb9cc",0.00116810691542923
"bzb9gq",0.0138689232990146
"bzb9hg",0.00286479294300079
"bzb9ld",0.0110841747373343
"bzb9m6",0.0159440916031599
"bzb9rq",0.037543710321188
"bzb9ur",0.000601658131927252
"bzb9yy",0.00143890990875661
"bzb9z6",0.00448563927784562
"bzb9zm",0.00556301744654775
"bzb9zw",0.00913450680673122
"bzba1q",0.0105596370995045
"bzba1r",0.00384376663714647
"bzba6s",0.00172752200160176
"bzba70",0.0105822300538421
"bzba7s",0.00449141999706626
"bzba7w",0.00231302995234728
"bzba9u",0.0842888355255127
"bzbaeb",0.00331455003470182
"bzbaew",0.0712727978825569
"bzbaf6",0.0265703741461039
"bzbakt",0.00837543793022633
"bzbalm",0.00972416810691357
"bzbalr",0.00175826309714466
"bzbamx",0.00197053258307278
"bzbao6",0.00040313380304724
"bzbap3",0.00450306944549084
"bzbape",0.0310105439275503
"bzbapf",0.00884087570011616
"bzbaq9",0.00335207185707986
"bzbat9",0.0020257409196347
"bzbavv",0.0124083375558257
"bzbaw5",0.0014817223418504
"bzbawu",0.0194766167551279
"bzbb0b",0.0104831391945481
"bzbb1j",0.297537088394165
"bzbb1l",0.00365827139467001
"bzbb24",0.00906947162002325
"bzbb2r",0.00979570485651493
"bzbb5t",0.0321923792362213
"bzbb6i",0.000861462787725031
"bzbb9e",0.00642825150862336
"bzbbbh",0.0960053130984306
"bzbbbn",0.00123765971511602
"bzbbcq",0.0140855815261602
"bzbbhl",0.00574505841359496
"bzbblb",0.0136329168453813
"bzbbld",0.00254449620842934
"bzbbnl",0.00636913580819964
"bzbbnz",0.00592261599376798
"bzbbpc",0.0015779216773808
"bzbbq7",0.0109879011288285
"bzbbqe",0.0119333881884813
"bzbbqj",0.0200833007693291
"bzbbrf",0.00206141290254891
"bzbbvn",0.00555433239787817
"bzbbwy",0.00329529657028615
"bzbbx9",0.0153128951787949
"bzbbz8",0.00343209016136825
"bzbc07",0.0136982826516032
"bzbc28",0.0345902368426323
"bzbc2p",0.00361572299152613
"bzbc4w",0.0171943306922913
"bzbc7f",0.00606360007077456
"bzbc7q",0.000974712194874883
"bzbc7t",0.19297793507576
"bzbc9q",0.000147513186675496
"bzbcbj",0.0129980202764273
"bzbccw",0.0046260105445981
"bzbcfn",0.00089355290401727
"bzbch6",0.0283061843365431
"bzbchz",0.000989411026239395
"bzbcl0",0.00565615016967058
"bzbcpb",0.000561481167096645
"bzbcpq",0.0306260660290718
"bzbcqu",0.00844419375061989
"bzbcrj",0.0188577733933926
"bzbcs8",0.00857073254883289
"bzbcu9",0.00499048642814159
"bzbcv2",0.00013872618728783
"bzbcwj",0.00389478565193713
"bzbcxj",0.00812158919870853
"bzbcyd",0.0137113593518734
"bzbd17",0.00816773716360331
"bzbd1y",0.000202033494133502
"bzbd73",0.00575855327770114
"bzbd9k",0.00528836017474532
"bzbdd8",0.0141496593132615
"bzbddk",0.000901273684576154
"bzbddv",0.00422030873596668
"bzbdf3",0.00999473221600056
"bzbdgr",0.000400819088099524
"bzbdhv",0.0105912806466222
"bzbdhy",0.0163597743958235
"bzbdjf",0.0047653429210186
"bzbdk6",0.00589470844715834
"bzbdlk",0.0899179875850677
"bzbdnp",0.00540841836482286
"bzbdol",0.00488655548542738
"bzbdpp",0.000193915431736968
